# inglés	español	marcas (v=VEO20 oficial, c=CK3 oficial, ?=sin verificar, l=revisar automáticamente)	nota
Cainite	Cainita	vl	
Kindred	Vástago	l	V20; colectivo: la Estirpe
childe	Chiquillo	vl	pl. Chiquillos
childer	Chiquillos	vl	
sire	Sire	v	
Embrace	Abrazo	v	verbo: Abrazar; siempre con mayúscula
Kiss	Beso	v	verbo: Besar
fledgling	Retoño	vl	
neonate	Neonato	vl	
ancilla	Ancilla	v	pl. Ancillae
elder	Antiguo	v	rango de edad vampírico
Methuselah	Matusalén	vl	
Antediluvian	Antediluviano	vl	
ghoul	Ghoul	v	con mayúscula, pl. Ghouls
revenant	Aparecido	vl	
Caitiff	Caitiff	v	
undead	no-muerto	v	
Gargoyle	Gárgola	vl	
Lupine	Lupino	vl	
werewolf	hombre lobo	vl	minúscula, pl. hombres lobo
werewolves	hombres lobo	vl	
faeries	hadas	v	
fae	hadas	v	
wraith	wraith	vl	minúscula, pl. wraiths; nunca «Espectro» (decisión del usuario)
Spectre	Espectro	?	SOLO para Spectre inglés; wraith nunca es Espectro
Beast	Bestia	v	la Bestia
Hunger	Ansia	vl	el Ansia; nunca «Hambre» (decisión del usuario)
frenzy	Frenesí	vl	
Rötschreck	Rötschreck	v	
torpor	Letargo	vl	adjetivo torpid: aletargado
torpid	aletargado	l	
Final Death	Muerte Definitiva	vl	
Golconda	Golconda	v	
diablerie	Diablerie	v	
diablerist	Diablerista	v	
Amaranth	Amaranto	vl	
Generation	Generación	vl	
Humanity	Humanidad	vl	
Willpower	Fuerza de Voluntad	vl	
Vitae	Vitae	v	
blood bond	Vínculo de Sangre	vl	
blood oath	Juramento de Sangre	vl	
blood hunt	Caza de Sangre	vl	
blood magic	Magia de Sangre	vl	
bloodline	Línea de Sangre	vl	
Blood Pool	reserva de Sangre	v	
Discipline	Disciplina	vl	
haven	refugio	v	
Herd	Rebaño	v	
kine	ganado	v	
vessel	recipiente	v	
Clanmate	compañero de Clan	v	
High Clans	Altos Clanes	vl	
Low Clans	Bajos Clanes	vl	
Prince	Príncipe	v	
Primogen	Primogénito	vl	
Sheriff	Sheriff	v	
Scourge	Azote	v	
Harpy	Arpía	vl	
Courts of Blood	Cortes de Sangre	vl	
coterie	coterie	v	minúscula
brood	prole	v	
Anarch	Anarquista	vl	
Camarilla	Camarilla	v	
Sabbat	Sabbat	v	el Sabbat
Inconnu	Inconnu	v	
Masquerade	Mascarada	vl	la Mascarada
Cainite Heresy	Herejía Cainita	vl	
Black Hand	Mano Negra	vl	
Sword of Caine	Espada de Caín	vl	
Caine	Caín	vl	
Book of Nod	Libro de Nod	vl	
Noddist	nodista	v	
Shadowlands	Tierras de las Sombras	vl	
Underworld	Inframundo	vl	
Long Night	Larga Noche	vl	
Bitter Crusade	Amarga Cruzada	vl	
Assamite	Assamita	vl	
Cappadocian	Capadocio	vl	
Setite	Setita	vl	
Followers of Set	Seguidores de Set	?	
Old Clan Tzimisce	Viejo Clan Tzimisce	vl	
True Brujah	Verdadero Brujah	vl	
Road of Kings	Camino de los Reyes	vl	
Road of Humanity	Camino de la Humanidad	vl	
Road of the Beast	Camino de la Bestia	vl	
Road of Sin	Camino del Pecado	vl	
Road of Blood	Camino de la Sangre	vl	
Road of Bones	Camino de los Huesos	vl	
Road of Heaven	Camino del Cielo	vl	
Road of the Abyss	Camino del Abismo	vl	
Road of the Hive	Camino de la Colmena	vl	
Road of Lilith	Camino de Lilith	vl	
Road of Paradox	Camino de la Paradoja	vl	
Road of Service	Camino del Servicio	vl	
Road of Set	Camino de Set	vl	
Road of Vengeance	Camino de la Venganza	vl	
Path of Bone	Senda del Osario	vl	
Path of the Devil	Senda del Diablo	vl	
Animalism	Animalismo	vl	
Celerity	Celeridad	vl	
Chimerstry	Quimerismo	vl	
Dementation	Dementación	vl	
Dominate	Dominación	vl	
Fortitude	Fortaleza	vl	
Mytherceria	Mythercería	v	
Necromancy	Necromancia	vl	
Obfuscate	Ofuscación	vl	
Obtenebration	Obtenebración	vl	
Potence	Potencia	vl	
Presence	Presencia	v	
Protean	Protean	v	
Quietus	Extinción	vl	
Thaumaturgy	Taumaturgia	vl	
Dark Thaumaturgy	Taumaturgia Oscura	vl	
Vicissitude	Vicisitud	vl	
Abyss Mysticism	Misticismo del Abismo	vl	
Koldunic Sorcery	Hechicería Koldúnica	vl	
Assamite Sorcery	Hechicería Assamita	vl	
Hunter	Cazador	v	
Kinfolk	Parentela	v	
Kinain	Kinain	v	
Garou	Garou	?	
Wyrm	Wyrm	?	
Wyld	Salvaje	?	
Weaver	Tejedora	?	
Rage	Furia	?	
Gnosis	Gnosis	?	
Renown	Renombre	?	
Black Spiral Dancers	Danzantes de la Espiral Negra	?	
Get of Fenris	Camada de Fenris	?	
Silver Fangs	Colmillos Plateados	?	
Shadow Lords	Señores de la Sombra	?	
Bone Gnawers	Roehuesos	?	
Children of Gaia	Hijos de Gaia	?	
Red Talons	Garras Rojas	?	
Silent Striders	Caminantes Silenciosos	?	
Stargazers	Contempladores de Estrellas	?	
Glass Walkers	Moradores del Cristal	?	
Black Furies	Furias Negras	?	
Oblivion	Olvido	?	
changeling	changeling	v	minúscula
Mummy	Momia	?	
Inquisition	Inquisición	?	
Order of Hermes	Orden de Hermes	?	
Technocracy	Tecnocracia	?	
Scheme	Conjura	c	
Hook	Anzuelo	c	
Dread	Temor	c	
Liege	Señor	c	
Vassal	Vasallo	c	
Realm	Señorío	c	
Lifestyle	Estilo de vida	c	
Intrigue	Intriga	c	
Stewardship	Administración	c	
Prowess	Destreza	c	
Court Position	Puesto en la corte	c	
Cultural Tradition	Tradición cultural	c	
Accolade	Galardón	c	
Domicile	Domicilio	c	
Struggle	Contienda	c	
