# GENERADO por 'python tools/extract_glossaries.py' desde los glosarios oficiales en PDF.
# No editar a mano: lo que haya que corregir o fijar va en glossary.tsv, que tiene prioridad.
# Columnas: inglés	español	marcas (b = glosario oficial de un libro)	libro	usos en el mod
caern	Túmulo	b	H20	223
unlife	no-vida	b	H20	188
Psychic	psíquico	b	V20	182
Sect	Secta	b	V20	159
Banu Haqim	Banu Haqim	b	V20	141
Cardinal	Cardenal	b	V20	139
Caste	Casta	b	W20	124
Shroud	Manto	b	V20	120
Serpent	Serpiente	b	C20	110
Nightmare	Pesadilla	b	C20	97
Phoenix	Fénix	b	M20	96
Breed	Raza	b	H20	90
Legion	Legión	b	W20	89
Dragons	Dragones	b	H20	88
Essence	Esencia	b	H20	85
Chantry	Capilla	b	M20	83
mage	mago	b	C20	83
Enchantment	Encantamiento	b	C20	82
Infernalist	Infernalista	b	M20	81
Middle Kingdom	Reino Medio	b	C20	79
Midnight	Medianoche	b	H20	79
Progeny	Progenie	b	V20	77
Awakened	Despertado	b	M20	74
Sorcerer	Hechicero	b	C20	72
Mirror	Espejo	b	H20	70
Elysium	Elíseo	b	V20	69
Totem	Tótem	b	C20	69
Unseelie	Oscuro	b	C20	64
War of Seasons	Guerra de las Estaciones	b	C20	64
Gauntlet	Celosía	b	C20	63
Redemption	Redención	b	W20	63
Unseen	Invisible	b	VEO20	63
Binding	Vinculación	b	V20	62
Inquisitor	Inquisidor	b	H20	61
Baba Yaga	Baba Yaga	b	H20	58
Angst	Angustia	b	W20	57
Twilight	Crepúsculo	b	H20	57
Apocalypse	Apocalipsis	b	H20	56
Intelligence	Inteligencia	b	C20	56
Garou Nation	Nación Garou	b	H5	55
sept	clan	b	H20	54
Survival	Supervivencia	b	C20	54
modern nights	noches actuales	b	V20	52
Haunt	Morada	b	M20	51
Seelie	Luminoso	b	C20	51
Labyrinth	Laberinto	b	M20	49
Psyche	Psique	b	W20	49
Auspice	Auspicio	b	H20	47
Occult	Ocultismo	b	Cazador	47
Sable	Marta Cibelina	b	H20	47
Silver Fangs	Colmillos Plateados	b	H20	47
clutch	nidada	b	H20	46
Silent Striders	Caminantes Silenciosos	b	H20	46
Slumber	Hibernación	b	H20	46
Charisma	Carisma	b	C20	45
Thorn	Espina	b	Cazador	45
Archbishop	Arzobispo	b	V20	44
chimera	quimera	b	C20	43
First Change	Primer Cambio	b	H5	43
Metamorphosis	Metamorfosis	b	C20	43
Seekers	Buscadores	b	H20	43
Spell of Life	Hechizo de la Vida	b	VEO20	43
Arcane	Arcano	b	M20	42
chimerical	quimérico	b	C20	42
commune	comuna	b	C20	42
Demonology	Demonología	b	V20	42
Ephorate	Eforato	b	V20	42
Madness Network	Red de Locura	b	V20	42
Samiel	Samiel​	b	V20	42
Shadow Lords	Señores de la Sombra	b	H20	42
trod	Paso	b	C20	42
Avalon	Ávalon	b	M20	41
Convention	Convención	b	M20	41
Freehold	Feudo	b	C20	41
Stygia	Estigia	b	W20	41
Zhong Lung	Zhong Lung	b	H20	40
Covenant	Alianza	b	M20	39
Kith	Linaje	b	C20	39
Stargazers	Contemplaestrellas	b	H20	39
Assets	Activos	b	Cazador	38
Blooded	Pura Sangre	b	C20	38
conduit	conducto	b	M20	38
Paradise	Paraíso	b	W20	37
Sage	Sabio	b	C20	37
