# GENERADO por 'pod.py glossary' desde game_POD_concepts. No editar: corrige el concepto o añade la entrada a glossary.tsv.
World of Darkness	Mundo de Tinieblas	m	concepto del mod
WoD	MdT	m	concepto del mod
Prince	Príncipe	m	concepto del mod
Princes	Príncipes	m	concepto del mod
Blood Potency	Potencia de Sangre	m	concepto del mod
Generation	Generación	m	concepto del mod
Blood Bond	Vínculo de Sangre	m	concepto del mod
Beast	Bestia	m	concepto del mod
The Beast	La Bestia	m	concepto del mod
Beasts	Bestias	m	concepto del mod
The Masquerade	La Mascarada	m	concepto del mod
Masquerade Exposure	Exposición de la Mascarada	m	concepto del mod
Cainites	Cainitas	m	concepto del mod
Cainite	Cainita	m	concepto del mod
Diablerist	Diablerista	m	concepto del mod
Diablerize	Diablerizar	m	concepto del mod
Resonance	Resonancia	m	concepto del mod
Torpor	Letargo	m	concepto del mod
torpid	torpido	m	concepto del mod
Hunger	Hambre	m	concepto del mod
Discipline	Disciplina	m	concepto del mod
Disciplines	Disciplinas	m	concepto del mod
Choleric Resonance	Resonancia Colérica	m	concepto del mod
Sanguine Resonance	Resonancia Sanguínea	m	concepto del mod
Blood Magic	Hechicería de Sangre	m	concepto del mod
True Faith	Fe Verdadera	m	concepto del mod
Phlegmatic Resonance	Resonancia Flemática	m	concepto del mod
Melancholy Resonance	Resonancia Melancólica	m	concepto del mod
Animal Resonance	Resonancia Animal	m	concepto del mod
Draught	Pócima	m	concepto del mod
Shapeshift	Cambio de Forma	m	concepto del mod
Blood Sorcery	Hechicería de Sangre	m	concepto del mod
Blood Sorcerer	Hechicero de Sangre	m	concepto del mod
Thaumaturgy	Taumaturgia	m	concepto del mod
Necromancy	Nigromancia	m	concepto del mod
Primogen	Primogénito	m	concepto del mod
Primogen Aptitude	Aptitud de Primogénito	m	concepto del mod
Battle Modifier	Modificador de Batalla	m	concepto del mod
Conviction Lifestyle	Estilo de Vida de Convicción	m	concepto del mod
Obtenebration	Obtenebración	m	concepto del mod
Elder Perk	Ventaja de Anciano	m	concepto del mod
Elder Perks	Ventajas de Anciano	m	concepto del mod
Embrace	Abrazo	m	concepto del mod
Clans	Clanes	m	concepto del mod
Antediluvian	Antediluviano	m	concepto del mod
Antediluvians	Antediluvianos	m	concepto del mod
Herd	Rebaño	m	concepto del mod
Revenant	Aparecido	m	concepto del mod
revenants	aparecidos	m	concepto del mod
Chi Arts	Artes del Chi	m	concepto del mod
Soul Arts	Artes del Alma	m	concepto del mod
Demon Arts	Artes del Demonio	m	concepto del mod
Alchemy Hekau	Alquimia Hekau	m	concepto del mod
Amulets Hekau	Amuletos Hekau	m	concepto del mod
Celestial Hekau	Hekau Celestial	m	concepto del mod
