# Revisiones dadas por buenas: no se vuelven a proponer mientras el texto no cambie.
# archivo	clave	ocurrencia	regla	huella del texto español	fecha
POD_coterie_l_english.yml	POD_coteriename_black_hoof_riders_tt	0	*	45635458a4	2026-09-20
POD_court_positions_l_english.yml	dogcatcher_court_position_desc	0	*	0ddb4ddbec	2026-09-20
POD_journeys_l_english.yml	seek_knowledge_giovanni_desc	0	*	62a97e8132	2026-09-20
POD_journeys_l_english.yml	seek_knowledge_impundulu_desc	0	*	9d528a2668	2026-09-20
POD_journeys_l_english.yml	seek_knowledge_lamia_desc	0	*	0592236201	2026-09-20
POD_journeys_l_english.yml	seek_knowledge_mytherceria_desc	0	*	6dfad2b174	2026-09-20
POD_journeys_l_english.yml	seek_knowledge_nagaraja_desc	0	*	0bfc7b66df	2026-09-20
POD_journeys_l_english.yml	seek_knowledge_obligation_desc	0	display	*	2026-09-20
POD_journeys_l_english.yml	seek_knowledge_obligation_desc	0	glossary	*	2026-09-20
POD_journeys_l_english.yml	study_true_name_journey_name	0	*	34f64ff2e7	2026-09-20
POD_legends_l_english.yml	setite_chronicle_motivation	0	*	6c5345be5b	2026-09-20
POD_regiments_fera_l_english.yml	mokole_hatchlings_flavor	0	*	126822f8eb	2026-09-20
POD_regiments_fera_l_english.yml	werewolfpack	0	*	9a6fbab0b2	2026-09-20
POD_relationship_reasons_l_english.yml	rival_attempted_mesmerize	0	*	04469924a0	2026-09-20
POD_relationship_reasons_l_english.yml	rival_attempted_mesmerize_corresponding	0	*	1f256eecac	2026-09-20
artifacts/pod_artifacts_l_english.yml	artifact_ainkurn_description	0	*	4c4370e8eb	2026-09-20
artifacts/pod_artifacts_l_english.yml	artifact_book_enoch_description	0	*	e3ccb6231e	2026-09-20
artifacts/pod_artifacts_l_english.yml	artifact_gospels_irad_description	0	*	b05c9a6ab7	2026-09-20
artifacts/pod_artifacts_l_english.yml	artifact_lens_of_zadkiel_description	0	*	41491d0a75	2026-09-20
artifacts/pod_artifacts_l_english.yml	artifact_michaelis_rosary_description	0	*	1a00ca2c10	2026-09-20
artifacts/pod_artifacts_l_english.yml	artifact_phrygian_codex_description	0	*	27ebfee260	2026-09-20
artifacts/pod_artifacts_l_english.yml	artifact_portrait_saulot_description	0	*	cfb1ea4c66	2026-09-20
artifacts/pod_artifacts_l_english.yml	artifact_rayzeel_song_description	0	*	6901df74e2	2026-09-20
bookmark/bookmarks_POD_l_english.yml	bloodlines_sub_bookmark	0	glossary	4dfb0a454b	2026-09-20
bookmark/bookmarks_POD_l_english.yml	bm_1230_inquisitor_sub_hengeyokai_desc	0	glossary	53b145cf52	2026-09-20
bookmark/bookmarks_POD_l_english.yml	bm_1230_inquisitor_sub_revenants_desc	0	glossary	4645d57904	2026-09-20
bookmark/bookmarks_POD_l_english.yml	bm_1230_inquisitor_sub_zadruga_desc	0	glossary	c6e9e395cd	2026-09-20
bookmark/bookmarks_POD_l_english.yml	bm_1230_warofprinces_sub_bloodlines	0	glossary	4dfb0a454b	2026-09-20
bookmark/bookmarks_POD_l_english.yml	bm_1230_warofprinces_sub_bloodlines_desc	0	*	f30389a19d	2026-09-20
bookmark/bookmarks_POD_l_english.yml	bm_1230_warofprinces_sub_gangrel_desc	0	*	2e8f832538	2026-09-20
bookmark/bookmarks_POD_l_english.yml	bm_1230_warofprinces_sub_toreador_desc	0	*	7afe1844c8	2026-09-20
